#{"t_start": 1788101523.6408796, "env_id": "None"}
r,l,t
220.107747,499,2.181862
265.187867,527,3.417811
329.579194,596,3.958579
318.36265,548,4.981761
231.034597,517,5.422158
281.592211,560,6.537089
995.974206,1141,8.016673
484.730328,803,9.268925
857.733536,1067,11.01245
279.552151,561,11.481217
344.228435,616,12.667008
320.544061,634,13.180881
612.962531,820,14.474063
417.300996,656,15.764254
469.198116,744,16.973464
331.077987,567,17.459163
430.020431,696,18.68702
498.436293,725,19.318691
542.078738,783,20.542118
449.794972,690,21.771109
317.130852,560,22.227722
483.7812,723,23.40832
262.120181,621,24.505658
685.951393,899,25.920872
591.370742,872,27.216735
642.51334,851,27.952974
389.056516,679,29.111986
273.152814,713,30.331588
657.87091,868,31.594689
536.484956,775,32.260054
369.353422,669,33.473255
559.151995,800,34.759107
413.004567,767,35.366793
543.876303,821,36.644741
615.036702,817,37.893247
378.668424,688,39.088656
342.919296,576,39.56162
201.922617,522,40.689065
118.979527,494,41.126684
478.888051,780,42.349762
333.858337,625,43.487042
551.681029,916,44.795708
270.316071,548,45.293732
289.335753,592,46.38448
241.481698,519,46.833579
707.303282,921,48.196719
533.775737,847,49.511355
389.152277,658,50.617707
476.016364,772,51.254909
683.337597,968,52.757543
219.767006,529,53.809608
577.428457,841,55.073489
311.027099,574,55.548162
252.822912,473,56.583264
339.475397,550,57.046359
328.560872,616,58.18552
337.750191,685,58.732023
382.18484,685,59.885776
490.681506,931,61.247758
480.818189,856,62.573493
573.409984,769,63.871073
296.380194,619,64.385365
453.551322,634,65.516779
293.95548,626,66.026992
482.075027,744,67.289955
266.528268,567,68.353911
478.83337,726,68.979687
612.800166,871,70.265321
321.127871,649,71.535496
534.728721,746,72.744286
418.537225,665,73.33303
435.719051,652,74.656125
528.394438,830,76.171296
428.587546,703,76.861377
364.765483,613,78.08028
474.600865,749,79.349282
373.254845,619,79.99234
1008.572754,1186,82.322717
276.616932,588,82.90437
354.112271,621,84.105487
311.59582,575,84.651095
341.711353,621,85.840323
403.931873,683,87.10887
433.393353,676,87.763226
637.769746,824,89.193284
332.601508,589,90.328939
330.17252,570,90.91705
315.078116,606,92.083769
243.865544,559,92.614769
399.781044,649,93.834024
492.040611,694,95.138466
305.888082,575,95.697598
288.634689,547,96.855602
351.210707,602,97.462044
318.379468,608,98.658823
319.804547,591,99.233987
333.029609,599,100.412942
294.528049,613,101.671475
470.805936,704,102.343105
452.305851,693,103.637977
423.547079,655,104.855794
543.069846,743,105.568366
387.547254,640,106.814157
431.381086,673,108.137433
387.123279,637,108.723045
401.660125,652,109.941227
288.774351,743,111.226357
310.354041,623,111.843373
314.919458,606,113.069099
266.564824,531,113.564062
382.272951,668,114.859767
351.08291,598,116.054685
278.897779,491,116.547808
522.691672,771,117.848049
499.841303,714,119.135849
403.421404,665,119.724995
461.068658,722,121.019902
463.013247,668,122.177095
424.8408,670,122.764213
532.585551,799,124.338541
430.239323,710,125.655953
421.09988,718,126.323121
470.830873,711,127.689242
454.639776,670,128.994382
564.090679,740,129.721441
578.832307,852,131.120003
510.465528,733,132.481565
365.081252,620,133.64469
494.630556,708,134.348117
535.621172,782,135.950481
434.275275,684,137.241693
446.846312,678,137.882068
576.893295,734,139.168013
627.489184,804,140.544396
468.870525,710,141.942369
463.503588,714,142.657707
560.02508,761,143.968716
440.174366,670,145.29309
475.203472,695,145.956424
500.169513,704,147.275217
634.536171,802,148.651982
483.868642,801,150.018269
606.06243,819,150.781406
535.839596,757,152.196101
471.071409,721,153.656933
702.012127,868,155.100566
1115.398937,1285,156.956921
711.273742,928,158.502508
525.564132,857,160.075023
870.255865,905,161.58063
723.882951,887,162.498618
474.614154,719,163.863291
400.612285,639,165.454893
556.328883,807,166.831332
891.344013,1085,168.822043
467.996551,769,169.728108
515.662801,747,171.033897
432.241911,722,172.330948
576.489312,829,173.779008
735.046541,865,174.555919
552.240046,807,175.964371
426.459929,703,177.244209
945.341107,1173,178.909303
473.641745,750,180.28645
638.012385,833,181.741563
452.441511,826,182.535293
431.082162,748,183.917705
492.381821,798,185.29473
556.101495,824,186.694281
601.591555,946,188.300229
535.597543,868,189.138623
381.882905,651,190.385847
691.068518,898,191.805826
734.566806,963,193.316871
647.316528,835,194.772557
709.760257,949,196.307424
625.753238,830,197.141676
482.973665,946,198.658062
1116.345066,1346,201.143536
461.680148,923,202.58789
522.267675,899,204.022298
857.885815,893,204.866582
684.327074,933,206.358619
422.395408,690,207.634784
797.173931,855,209.027455
774.340687,915,210.522345
795.029108,995,212.128876
827.506678,988,213.656082
1231.612896,1584,215.73481
803.154008,987,217.415812
1121.121057,1506,220.945427
1011.111073,990,223.085859
1110.750679,1181,224.780521
1416.340738,1548,227.602586
1266.131529,1446,230.343814
1134.962191,1437,232.525276
1605.720965,1593,235.480206
2223.109185,2218,238.783149
892.324591,1036,240.419788
1209.509908,1191,242.215846
1122.959247,1293,244.047646
1497.16639,1617,246.878118
2496.389701,2625,251.509982
1334.058192,1348,254.06754
840.407792,946,255.728252
595.976389,785,256.50693
958.854477,945,258.073679
1556.395016,1752,261.037628
1348.795077,1371,262.905007
732.197937,843,264.371365
739.604177,861,265.71504
811.994919,897,267.220712
1018.809264,1004,268.755063
1082.024462,1144,270.475664
1415.180593,1364,272.359579
1208.491976,1387,274.890989
945.988256,1095,276.52533
1052.190782,1193,278.284662
900.809609,903,279.833919
950.332441,994,281.374793
1677.526309,1770,283.671349
776.188344,830,285.029634
1415.041009,1553,287.880153
969.471639,940,289.39546
1002.128005,969,290.95193
921.245665,895,292.408633
869.55687,912,293.241914
841.501661,872,294.750716
851.454427,798,296.087177
780.960803,843,297.53408
865.85452,889,299.03307
807.545698,875,300.470304
1591.024334,1459,302.411506
1285.647294,1216,304.227937
976.209165,862,305.693949
785.475919,833,307.054653
881.010542,808,308.484681
721.207229,882,309.926367
826.190872,760,310.630763
922.605071,1056,312.239425
749.780606,825,313.600313
986.313449,936,315.134109
783.369491,836,316.531241
909.947836,896,318.004712
701.741214,813,319.372312
828.337528,820,320.121992
1012.83704,903,321.578063
1129.826371,1010,323.116241
1210.026088,1071,324.810399
1215.760082,1120,326.419449
713.184888,803,327.788759
798.842726,899,329.276088
870.912983,814,330.660177
951.407203,917,332.105549
926.641588,888,333.567572
1213.511726,1166,335.215432
934.941373,891,336.730844
818.842265,782,337.452035
652.060797,756,338.787163
964.884884,857,340.217556
870.760312,1026,341.736452
897.162313,830,343.186714
1478.940653,1319,345.090356
902.235011,956,346.599833
968.132143,836,348.014802
850.489094,756,348.761018
788.047662,698,350.1027
939.363223,832,351.521519
1093.184514,911,352.976014
854.594467,776,354.305724
902.49787,892,355.130077
975.080196,941,356.628498
855.14282,773,358.002873
776.205944,766,359.340703
712.409969,745,360.628949
1025.158866,1008,362.33943
1004.303455,873,363.169993
772.883564,701,364.526236
725.737814,754,365.816343
876.658154,854,367.237349
865.090195,769,367.969855
1041.802706,860,369.460248
686.406908,748,370.766921
692.815839,759,372.035102
636.58774,754,373.373543
1096.699576,890,374.202696
942.739476,770,375.84529
677.595497,752,377.207367
573.111794,691,378.449887
886.144264,724,379.150482
911.596397,864,380.610367
674.4334,649,381.913924
789.883362,747,382.57504
738.65576,694,383.903797
574.76658,696,385.144977
476.218372,619,385.739809
561.274323,663,387.024695
565.674651,711,388.35431
789.579704,689,388.97725
967.395629,823,390.391965
753.878876,683,391.725945
