#{"t_start": 1788103029.9427283, "env_id": "None"}
r,l,t
552.456373,775,2.690815
809.399252,980,4.303607
448.134607,679,5.55182
564.583222,791,6.970851
709.46466,917,8.659622
749.235386,963,9.601059
549.774817,761,11.033567
541.093368,736,12.510099
430.503181,658,13.7891
860.203544,1021,15.435953
563.103635,807,16.230453
844.151809,1091,17.951903
1265.953224,1507,20.629286
871.065049,1053,22.406999
2320.166758,2376,26.018461
897.607673,1084,27.657311
978.03664,1062,29.327328
1024.267892,1202,31.779802
677.308251,860,32.688371
1243.611845,1407,35.624738
1016.805122,1158,37.466647
1190.7451,1336,39.42589
781.519861,951,41.019529
1532.429155,1552,43.767768
1331.77455,1399,45.822601
841.962097,1127,47.594971
1580.000849,1666,50.648555
1131.564008,1294,52.875938
1165.876857,1368,54.711579
807.926196,1026,56.313904
1016.335387,1125,58.016399
1012.20026,1221,60.5064
733.83234,920,62.026781
1792.957678,1858,64.369621
2340.271319,2293,68.377934
688.009481,906,69.295295
732.353889,937,70.766105
850.856442,1112,72.448244
925.629634,1091,74.823391
404.411412,706,75.508969
2167.263988,2202,78.813421
1072.887493,1278,81.351915
911.860318,1113,83.080117
642.679084,828,83.848732
1873.846163,2000,86.923846
814.726178,999,88.407292
1601.804542,1644,91.156596
2821.262534,2703,95.548118
1290.983556,1393,97.463034
1106.697705,1240,99.241939
848.019052,1017,100.921108
1376.070605,1438,103.529488
985.447228,1093,105.207123
877.438741,1004,106.785071
859.81117,1098,108.493233
1205.287935,1327,110.373369
979.352816,1169,112.047323
913.928069,1168,113.740066
564.279178,882,115.249953
745.461758,913,116.764347
848.850223,1034,118.75541
1053.062498,1206,120.501228
732.143633,966,122.097869
791.061774,980,123.726765
1192.700571,1299,125.51912
954.577338,1054,127.090391
800.450999,976,128.718035
1604.196417,1704,131.589931
980.785919,1158,133.324131
1802.567403,1824,136.227454
850.205895,992,137.825256
1209.916019,1286,139.700227
1065.434095,1222,141.449956
1658.973604,1655,144.143353
1151.922874,1261,146.005686
972.830881,1130,147.715997
802.211611,1006,149.283133
758.019413,977,150.880748
840.948067,1025,152.539316
978.659434,1092,154.281952
1131.430825,1221,156.62537
1682.815847,1646,158.831414
1728.883459,1672,161.598003
1024.161217,1137,163.269623
887.960109,1002,164.876067
1030.202346,1143,166.630323
1189.580925,1298,168.512923
1177.343655,1243,170.38716
1149.458135,1250,172.791328
1337.291382,1435,174.786797
1822.663237,1741,177.69442
930.324124,1091,179.28419
817.460586,885,180.787452
871.449963,1010,182.395996
957.340642,1069,184.046503
787.257441,884,185.457398
798.511538,914,186.952733
1893.06746,1879,189.51558
1466.990671,1462,192.148185
1917.019646,1785,195.031174
983.057799,1095,196.663859
1406.94842,1481,198.664337
1263.374861,1265,200.6258
1186.877402,1114,202.335535
1288.336197,1301,204.998819
1358.17925,1415,206.902494
1134.861884,1116,208.613635
800.357119,832,210.181339
1225.890182,1291,211.815147
1552.252201,1552,214.477555
1700.634721,1626,216.485245
813.04521,768,217.7963
1204.556182,1119,219.403758
1494.394492,1448,222.109813
926.829565,1004,223.718012
1129.985408,1007,225.290535
1419.803887,1435,227.145217
1259.400821,1116,228.776323
1037.626654,1032,230.32731
2329.698973,2198,233.85033
1365.376184,1368,236.421897
1942.473167,1967,238.801595
1622.911455,1543,241.472537
1061.313846,1071,242.980351
836.482296,797,244.262123
1120.25122,967,245.706942
1049.992164,1111,247.406289
1320.512451,1315,249.260347
1354.832352,1250,251.052232
1093.140181,1049,252.836385
1842.117689,1649,255.612334
1316.821898,1298,257.347945
1299.910338,1323,259.133226
1565.171537,1592,262.453326
1193.596123,1217,264.353547
1235.922746,1276,266.249318
970.599674,1023,267.928603
2400.72067,2213,271.947899
2066.609235,1813,274.465665
2875.798421,2482,278.830368
1617.708196,1481,280.905176
1603.176182,1723,283.860013
985.881037,1011,285.431952
1804.494624,1686,288.336879
1098.813801,1157,290.095031
828.777091,937,291.758649
1420.615994,1362,293.733147
1585.726589,1529,295.916261
1570.913351,1456,298.692207
1193.089777,1183,300.530513
1508.179231,1429,302.693718
2026.953853,1854,305.749289
2255.349759,2100,309.116641
1820.513058,1652,312.066015
2669.422626,2427,315.652312
1628.41282,1499,318.398627
2113.275959,1906,321.637069
1546.316788,1409,323.653558
1006.504772,1072,325.371472
2728.663898,2397,328.904474
1234.79599,1124,330.672673
1322.933058,1170,333.068342
765.66605,897,333.991913
1279.031724,1248,336.501954
1836.395611,1638,338.769003
1949.959853,1774,341.711719
1835.517048,1712,344.654877
1089.343621,1049,346.324455
2018.158447,1774,348.674357
3193.27202,2683,353.155044
1974.242528,1705,356.216856
1902.551552,1929,359.406578
1696.525898,1452,361.511647
1527.967923,1298,363.477028
2543.523407,2188,367.24855
1636.822517,1392,369.994843
1770.576685,1427,372.077905
2226.342397,1922,375.254637
1675.456902,1341,377.221758
2524.095606,2126,380.556105
1784.624897,1514,383.464272
2257.06359,1833,386.495609
2137.259369,1821,389.594591
1041.115597,868,390.484268
1379.787802,1170,392.93871
2605.584227,2117,396.31767
1613.801215,1313,398.246517
