#{"t_start": 1788125820.0886266, "env_id": "None"}
r,l,t
20373.828087,10000,19.570364
20290.348813,10000,36.643787
4374.691661,2321,40.705426
4203.935104,2263,45.486151
7179.706091,3735,51.445964
20341.818607,10000,67.820428
20204.185867,10000,84.894306
20141.05338,10000,101.054005
5721.027849,3022,106.389998
20270.715852,10000,122.795398
20325.584983,10000,140.289783
20184.120017,10000,157.339241
4905.475395,2625,161.541889
3733.784526,2043,165.016447
3696.774966,2003,168.408048
19994.89604,10000,185.088538
5049.516065,2680,190.287642
20176.678098,10000,206.049372
3836.914309,2080,209.539472
11085.603299,5675,221.253706
2676.783548,1527,223.591287
4988.798836,2677,228.906634
8799.572826,4542,236.623487
4567.502996,2469,241.315658
20235.147593,10000,258.757226
20316.107812,10000,275.14963
20388.961835,10000,291.330098
20391.349289,10000,308.172884
20384.89537,10000,324.730157
20463.260233,10000,340.510965
20539.780643,10000,357.23787
20582.756524,10000,374.372746
20637.705685,10000,390.939258
20683.459886,10000,407.185591
20706.781576,10000,423.637525
