#{"t_start": 1788113425.5972943, "env_id": "None"}
r,l,t
607.209878,803,3.108298
487.460089,709,4.525728
748.817041,968,6.234088
583.687462,783,7.819867
692.38408,876,9.253113
567.76061,799,10.070515
567.070944,756,11.409579
530.133775,767,12.807539
496.506393,778,14.311137
619.692338,849,15.107721
495.668595,748,16.479088
402.848311,640,17.734621
597.963688,826,19.254986
397.859121,681,19.911632
787.339406,1036,21.544174
509.81229,757,22.903219
562.139737,809,24.247714
650.695497,914,25.76544
590.822405,822,26.585796
418.353793,697,27.930545
423.473876,706,29.212486
559.796793,802,30.796224
497.037504,795,31.595907
586.440127,822,32.990334
437.997358,714,34.346713
483.489279,751,35.759658
502.919715,780,36.673078
426.076731,666,38.20478
623.528939,920,40.066206
570.410583,855,41.71999
568.882939,832,43.271236
509.025078,822,44.083539
721.768248,933,45.85582
432.743818,765,47.332174
614.161379,847,48.860982
627.511921,850,50.538393
550.467284,828,52.180016
835.031161,1019,54.307189
549.577803,858,55.224444
595.584812,928,56.895996
486.033102,888,58.594416
481.965854,773,60.105946
636.513259,907,61.840879
474.651274,726,62.623784
467.9991,827,64.142131
508.547714,899,65.852472
653.731958,946,67.652733
535.408778,883,69.234957
571.07938,807,70.702736
333.565376,734,71.533774
352.172502,645,73.114034
911.386382,1059,75.177237
421.250293,831,76.597248
433.619045,801,78.011522
461.809901,765,78.751659
682.589271,942,80.444202
490.739932,773,81.803189
481.813446,770,83.287987
591.722493,952,84.891621
318.436601,710,85.61916
223.170956,585,87.062273
328.14304,743,88.490383
377.169164,767,90.160892
653.793131,892,91.107674
334.413634,787,92.582148
481.430467,747,94.066654
347.010897,745,95.475519
628.695252,882,97.030739
498.779003,842,98.008012
510.934083,777,99.50395
610.665059,868,100.97155
494.99525,777,102.544605
363.088788,840,104.200608
472.065614,817,104.967536
705.024402,976,106.538664
559.507875,795,108.33111
457.578675,763,109.718539
796.89549,1054,111.443097
543.913855,811,113.089797
417.592799,636,113.760604
816.520992,1119,115.552848
684.623537,979,117.321808
442.205386,708,118.751554
847.375296,1242,120.684001
591.181174,893,122.327886
1083.470263,1502,125.494636
760.842539,1045,127.435213
706.735046,1076,129.26443
1118.316158,1310,131.353016
718.2724,934,132.991839
910.621401,1121,134.840313
840.920972,1057,136.503184
1043.903467,1243,138.714019
1465.807176,1545,141.773128
616.033094,864,142.690422
923.076045,1169,146.082658
724.370312,957,147.929914
1297.311126,1419,150.67116
830.929592,1073,152.454209
1106.935346,1176,154.858088
1242.429813,1346,157.95964
1042.975496,1235,160.733447
964.198917,1109,162.876045
1527.078718,1565,165.222576
802.772358,1001,167.061582
927.869327,1157,168.964985
1362.798293,1514,171.990876
688.59214,895,173.673831
962.388139,1158,175.846098
808.738727,967,177.616532
1208.530717,1165,179.931744
765.714392,957,181.899188
956.102517,1125,183.915072
842.852398,1028,185.882143
1084.020459,1144,187.971459
755.343936,921,189.602589
1081.418304,1179,191.459139
723.420232,916,193.130898
1068.862253,1210,195.271533
1098.834934,1215,197.120359
969.691623,1122,198.895909
840.929422,998,200.50548
825.725398,992,202.045037
927.116407,1075,203.77884
778.865172,929,205.305712
1254.567798,1308,207.862681
840.007923,1024,209.475423
1240.358149,1324,211.495069
826.097631,973,213.041868
895.901641,1000,214.626828
962.798211,1126,216.325249
988.117696,1119,218.071574
1141.657019,1243,219.931093
975.206817,1111,221.72679
1265.248684,1327,224.546325
783.688556,960,226.085819
907.805042,1057,227.880122
2151.363626,2083,231.244755
893.111794,982,232.917639
1053.2055,1096,234.818238
665.722166,799,235.611671
932.467539,1107,237.932923
1491.644549,1536,240.083566
1114.722609,1151,241.787848
1221.358553,1273,243.743798
1366.99803,1368,246.387854
865.63616,1061,248.115052
1370.345888,1205,250.054367
683.303981,816,251.567098
884.334204,883,253.195141
658.733312,779,253.956159
893.043647,983,255.613937
1172.607202,1188,258.224355
1068.989577,1132,260.130213
1235.574347,1271,262.145218
895.507992,978,263.872659
1247.921511,1253,265.866996
1016.841302,997,267.527626
1028.284584,1071,269.573857
1043.006661,1102,271.751273
1038.53181,1100,273.539901
1081.661776,1094,275.261066
1022.856843,1060,276.947225
1107.977917,1175,278.76125
1435.698241,1407,281.345003
1220.774682,1211,283.192112
1205.269239,1202,284.947686
1274.303294,1274,286.821476
954.8701,987,288.438745
904.85085,923,289.960325
796.421633,842,291.372436
677.128887,798,292.813139
1264.153798,1348,294.734688
1369.957328,1382,297.335252
966.096945,1248,299.229591
870.84166,939,300.82795
988.219342,958,302.351653
1143.334799,1150,304.087536
1118.76816,1084,305.755236
866.852293,919,307.31613
972.834627,960,308.898782
921.945615,937,310.577851
1058.745151,1033,312.291936
925.65382,971,313.91471
969.085854,1008,315.492282
1671.311781,1483,317.653692
1529.743295,1347,319.629821
1001.115506,931,321.205328
1729.887338,1583,324.008687
1692.003686,1568,326.110232
1095.985383,965,327.663031
1322.922501,1294,329.590696
