#{"t_start": 1788114635.003135, "env_id": "None"}
r,l,t
20214.967584,10000,19.718705
19554.541751,10000,37.746513
3803.480728,2089,41.566587
3599.662064,2016,45.382726
3783.245874,2138,51.756932
4399.063806,2451,64.866736
4927.301007,2675,68.750257
4351.738613,2453,72.97525
3619.450909,2045,76.122366
4707.632772,2520,79.847639
18854.074646,9690,96.087199
4725.797348,2596,100.677949
1356.741704,915,102.192811
1315.515522,892,103.920374
1194.533066,836,105.481434
1494.050279,990,107.274575
1344.418615,908,108.212078
1171.760384,824,109.830258
1540.478724,1016,111.421795
1279.031885,927,112.983668
1991.395246,1214,114.848838
1403.190348,958,116.45735
1662.891772,1098,118.213414
1490.225672,998,119.891677
1499.849399,1006,121.592379
1409.28328,982,123.362105
1362.011653,937,124.971469
1105.999951,860,126.5304
1320.513482,949,128.140644
1188.701559,871,129.844036
1218.104729,888,131.356243
1260.905418,879,132.222477
1300.077378,916,133.785947
1222.312279,897,135.308509
1406.77726,988,136.915776
1550.46488,1013,138.548928
1752.943277,1172,140.485527
1363.590092,939,142.039113
1609.157744,1068,143.927763
1391.013721,962,145.558083
1559.218079,1036,147.241707
1590.581795,1083,148.972366
2040.078631,1266,151.451396
2048.684815,1316,153.371855
4254.291414,2403,156.86336
1724.56799,1134,158.859363
2390.595836,1582,161.747048
1554.178566,1060,163.517653
2715.693288,1721,166.617893
1443.602387,1049,168.241118
19651.584723,10000,184.02841
2072.676042,1319,186.555421
1293.168728,927,188.182813
1326.751923,909,189.086238
1786.627704,1140,191.486875
1640.3939,1069,193.135019
1506.708502,1022,194.770061
4345.607798,2384,198.222059
5140.885672,2797,203.360965
4605.29349,2518,207.063634
1505.1869,996,208.735555
4313.672193,2386,212.403382
1842.011548,1141,214.860702
1351.193616,942,215.78415
1275.864725,874,217.272917
1471.152415,969,218.874178
1900.068123,1174,220.598763
1530.405928,1002,222.204391
1645.531884,1064,223.994301
1558.267206,985,225.89446
1692.15426,1086,227.592735
11433.800316,6134,237.071174
1735.895065,1100,238.844266
1532.872834,1010,240.463987
1440.048155,970,242.021493
1183.457594,804,243.539395
4141.727325,2367,247.661454
1218.686544,843,248.459948
1199.756319,865,249.99649
1344.63267,906,251.53828
1592.77105,1021,253.217702
4494.712715,2532,257.598134
1464.184056,953,258.516228
1415.514375,936,260.091462
1266.481957,857,261.611177
1398.557098,952,263.199808
1094.184362,773,264.609944
1428.295354,952,266.146279
1208.401222,815,267.616611
1271.471093,864,268.482988
1509.475103,988,270.026722
1241.873226,857,271.527493
1406.208075,936,273.089888
1252.516505,875,274.656959
1456.195602,958,276.25517
1307.91416,898,277.79907
1417.058441,937,279.386615
1674.678675,1073,281.036428
1423.581947,951,282.580528
1432.435816,960,284.258768
2151.044463,1288,286.155684
1672.542479,1078,287.802073
1222.37263,843,289.302666
1197.196967,839,290.776405
1198.495046,827,291.592994
1212.17339,848,293.059155
1259.509735,884,294.598119
1260.627769,872,296.038684
1225.296604,875,297.62836
1146.606379,832,299.08472
1394.564323,935,300.606064
1218.484586,845,301.439896
1069.362083,804,302.827231
1317.080676,933,304.433764
1579.803877,1062,306.109191
1560.210517,1014,307.776299
1440.837741,955,309.31517
1547.764506,1020,310.968338
1440.697197,950,312.544856
1408.175011,954,314.082328
1699.848448,1102,315.746362
1477.623885,1026,317.350883
1393.598774,936,318.933119
1149.842616,815,320.350183
1253.877209,861,321.804595
1255.439741,882,322.676586
1160.697251,824,324.212348
1363.04972,919,325.796874
1457.948128,977,327.425865
1222.450966,858,328.875512
1146.25074,809,330.281381
1249.29537,879,331.749156
1165.085299,829,332.542519
1272.122907,895,334.053385
1467.863808,983,335.76827
1192.162797,862,337.324847
1303.69805,899,339.849277
1385.48013,935,341.401654
1218.861383,858,342.931931
1177.680793,833,343.779764
1324.667169,915,345.493706
1090.008296,798,346.94206
1297.393352,906,348.39712
1089.851276,806,349.793835
1127.869958,813,351.232852
1413.937398,974,352.724027
1602.385191,1052,354.359437
4658.74867,2624,358.112599
2655.068692,1591,360.87235
1476.863417,985,362.64748
1233.649555,868,364.120562
10778.845538,5726,372.597022
1656.260677,1073,374.309458
1608.543022,1050,375.971315
1972.631994,1228,377.760095
1453.275341,974,379.298123
2176.977307,1336,381.879003
1186.745217,840,382.73905
1985.591793,1251,385.167312
1345.52254,918,386.742217
2795.011017,1604,388.934282
1323.477186,926,390.470569
1237.657349,866,391.967799
1470.349071,999,393.576351
1178.040699,871,395.083029
1263.045253,878,396.531784
1587.995373,1051,398.192361
1311.823804,909,399.111938
1440.360974,987,400.745447
1585.10414,1042,402.443689
1368.78091,938,404.079457
1466.3405,979,405.788276
1632.414566,1062,407.401998
1508.473695,1022,409.091123
1402.678865,954,410.749011
1328.488848,914,412.266571
1330.036783,911,413.753361
1398.899183,967,415.308538
2159.167682,1321,417.171259
1881.260496,1173,418.95216
1637.698732,1077,421.233888
2861.478089,1692,423.488009
