#{"t_start": 1788128869.910094, "env_id": "None"}
r,l,t
20405.832758,10000,19.451755
3135.281857,1704,22.790092
4300.671755,2247,26.530711
3224.866151,1744,30.153928
4861.300051,2539,34.768317
20372.74903,10000,53.270439
20366.805274,10000,71.801409
20361.181776,10000,91.502797
20274.45988,10000,109.619073
20286.064934,10000,129.257625
9402.796173,4817,138.938425
3559.778945,1926,142.494556
4318.451814,2336,146.654464
5270.244369,2802,151.864614
3164.094932,1736,154.516351
3497.665349,1919,158.079162
2666.879949,1502,161.244011
3657.479092,2022,164.869331
2661.469107,1498,167.209318
5991.240237,3163,173.02775
3570.519017,1947,176.376849
4371.789375,2334,180.380319
5226.967466,2761,185.744777
2861.853485,1612,189.308991
12427.696098,6205,202.29458
3179.969851,1784,206.094799
3938.155161,2133,210.361411
6336.070875,3292,216.156459
2420.123628,1382,218.335069
3625.840922,1942,222.044294
2027.611524,1224,224.113749
2083.01012,1238,227.004663
3444.028973,1871,229.915404
3602.685176,1928,233.515455
6292.921145,3236,239.758879
3830.404231,2054,243.540997
4257.630963,2357,248.058882
4580.155088,2437,251.735992
3654.042926,1983,254.89382
5044.072268,2706,259.465259
2694.842211,1557,261.615028
4068.619124,2149,264.856476
5160.887,2745,269.426487
5109.386864,2817,274.164408
3359.218311,1912,277.377485
3308.830569,1888,279.764074
3384.812544,1944,283.052433
20091.673894,10000,299.791936
3659.272528,1976,303.179041
3510.70159,1893,306.367689
20256.236301,10000,322.773889
20337.08317,10000,338.550264
20409.921115,10000,354.031691
20506.504048,10000,370.457314
3916.510417,2070,373.760571
20504.69666,10000,389.87597
20495.687483,10000,405.980745
20583.313793,10000,421.449185
20607.196569,10000,437.232351
